user_id,tweet
1331327671083687936,"Con el blower a la mitad, sin luz pero regia🤣 "
1331327642579202051,"@angelamrobledo @IvanDuque En serio,Quién vota por esta señora?"
1331327640440074240,Ser tu propio conductor y apagar desde hoy el piloto automático
1331327640217718784,"@MovistarCo no soy usuario de su red, su base de datos tiene mi número móvil registrado para cobrar a un señor Bran… "
1331327636690395136,Llevarla de bote al samber 
1331327627139878912,Buena jugada pero falto definición
1331327608450068481,Hoy visitamos @AmagaAnt y firmamos el acta de compromiso para la instalación de la #MesaDiversaPorLaVida en compañí… 
1331327588770443266,@ElQueLosDELATA @petrogustavo De objetivo no tiene nada y lo evidente es que Petro difícilmente es capaz de unir y… 
1331327573243158534,@ContraGodarria @Glodem53 Repito nuevamente se dejan manipular por las personas que les gusta generar distracción a… 
1331327572752424961,"Véanse the craft: legacy, esta muy cool"
1331327566045704192,@MiguelUribeT Estatuto de seguridad
1331327562916777986,@beatrizriosc58 AMÉN 🙏 GRACIAS ❤ BEATRIZ. FELIZ TARDE BENDICIONES Y UN ABRAZO 🤗 CUIDATE MUCHO. ♥ 🤗 ♥️ 
1331327538946330626,La jugadita de Néstor Humberto “Cianuro de Sodio” Martínez. 
1331327527776874500,Y para cuando se va a corregir esa sinvergüenzada?O acabarla mejor? 
1331327523054116868,@tula9cisf @BudweiserCo Nos la ganemos xd porque la pola ajá xd
1331327521787404292,"@dioicadioica @laprensa Se usa el ""AL MENOS"" porque no es una cifra definitiva. Con el pasar de las horas, los acci… "
1331327514103386117,@karlariveros__ Jajajaja
1331327491437449217,"Riohacha es una de la ciudades pioneras en la implementación del sistema de juventud en Colombia, por ello, la Secr… "
1331327490250448898,La felicidad en una foto. 
1331327486198689792,Me muero por las oreo de Navidaddd😍😍
1331327483229179906,"""Cuando vives con pasión y compartes tu Felicidad, descubres que el mundo es muy pequeño para albergar rencores...""… "
1331327474911862785,@CARLOSFMEJIA @CeDemocratico Cuándo se descubrirá la verdad ?
1331327470608519169,"Ustedes tan jóvenes, dizque CD que marcaron la adolescencia, pues yo recuerdo mucho este Cassette 🤭🤭🤭 "
1331327459569131520,@CindyAyoRoa La gente se supera en estupidez
1331327441860780033,@EuNaytiri @everstrongever Invítame por favor
1331327440715735040,"Oiga que día pa aburridoooooooo, no puedo"
1331327438131965954,@Mariavinasco1 AMÉN 🙏 GRACIAS ❤. MARÍA. FELIZ TARDE BENDICIONES Y UN ABRAZO 🤗 
1331327402283331585,"@KathyLambis Una maldición, le caera a esta persona que hizo esta canallada contra las personas, es horroroso lo qu… "
1331327394871996421,Mi apetito está por allá en la Patagonia.
1331327394280574981,qué ganas de que me hableeeeessssssss.
1331327378820378627,A mi me importa un culo lo que creas de mi
